iter	RMSE	PrecisionAt:top=10	RecallAt:top=10	MAP:top=10
0	0.2057278958	0.03696431549	0.5201238047	0.05100630885
1	0.2042877089	0.0362139403	0.51732133	0.05014764555
2	0.2030322375	0.039015341	0.5290541501	0.06222487953
3	0.2019480777	0.04206686677	0.5414288203	0.06855741347
4	0.2009749914	0.04441804235	0.5484386734	0.0724421392
5	0.2001058616	0.04686926797	0.556890808	0.0769880097
6	0.199327437	0.04982074371	0.5645910868	0.08351695067
7	0.1986310183	0.04972069368	0.566655829	0.08458790163
8	0.1979320081	0.05362264466	0.5776827923	0.09060717174
9	0.1973440308	0.05472319493	0.5810557006	0.09255789885
10	0.1968457172	0.05477321994	0.581265402	0.0921076813
11	0.1963252719	0.05592379523	0.5856242121	0.09444898848
12	0.1958968381	0.05802484576	0.5918842359	0.09615312191
13	0.1954907085	0.05777472069	0.5892782783	0.0967001012
14	0.1951093876	0.05917542104	0.5935569455	0.09950331931
15	0.1947294389	0.06102634651	0.6007066858	0.1027461947
16	0.1943844953	0.06152659663	0.6040541218	0.1051161613
17	0.1941127524	0.06202684676	0.6048991567	0.105798454
18	0.1938169451	0.06197682174	0.6042299262	0.1068414467
19	0.193495138	0.06432799733	0.6119415487	0.1092123214
20	0.1932068242	0.06482824746	0.6137511837	0.110200522
21	0.1929880789	0.06562864766	0.6155806148	0.1110596005
22	0.1927865319	0.06542854761	0.6160270376	0.1114685083
23	0.1925816759	0.06537852259	0.6150932268	0.1116759299
24	0.1923759693	0.06552859763	0.6149435488	0.1117968733
25	0.1921851364	0.06622894781	0.6163801247	0.1128566683
26	0.1920194945	0.06622894781	0.6168712794	0.1135184682
27	0.1918608404	0.06672919793	0.6180272506	0.1150344056
28	0.1917148817	0.06702934801	0.6190928808	0.1149967188
29	0.191571824	0.06777972319	0.6218439848	0.1160561941
30	0.1914131681	0.06812989828	0.6224979989	0.1163835819
31	0.1912844216	0.06838002335	0.6229827526	0.1171293883
32	0.1911611877	0.06868017342	0.6244084655	0.1185040596
33	0.1910403144	0.06838002335	0.6247609098	0.1177952822
34	0.1909130448	0.06908037352	0.6270359336	0.1193159372
35	0.1908155863	0.06973069868	0.6276630204	0.1192730283
36	0.1907285545	0.06943054861	0.626809022	0.1192360175
37	0.1906233396	0.06968067367	0.6280943304	0.1201060764
38	0.1904929854	0.07083124896	0.6301855298	0.1216861995
39	0.190398866	0.07108137402	0.6309886624	0.1216296667
40	0.1903129878	0.07118142405	0.6311871438	0.1217508592
41	0.1901947221	0.07173169918	0.6324221047	0.1220852937
42	0.190093377	0.07168167417	0.6313840571	0.1223301723
43	0.189993937	0.07213189928	0.6338789859	0.122934095
44	0.1899079693	0.07228197432	0.6350688665	0.1238456985
45	0.1897942614	0.07268217442	0.6359729547	0.1249066461
46	0.1896919749	0.07263214941	0.6356777674	0.1247232262
47	0.189627024	0.07223194931	0.6349228265	0.1244137052
48	0.1895498762	0.07248207437	0.6362591909	0.1250060261
49	0.1894540623	0.07318242455	0.6388265747	0.1269119756
50	0.1893897695	0.07333249958	0.6392065872	0.1275408427
51	0.1893205994	0.07348257462	0.6396873831	0.1281293633
52	0.189236924	0.0733825246	0.639309641	0.129239742
53	0.1891878078	0.0737827247	0.6402644835	0.1298911314
54	0.1891263509	0.0737827247	0.6407878603	0.1302633727
55	0.1890667402	0.07413289978	0.641758851	0.1312665784
56	0.188987888	0.0741829248	0.6419193479	0.1319353903
57	0.1889112281	0.07443304986	0.643448913	0.1322194572
58	0.1888479891	0.07438302485	0.6434620148	0.1323486701
59	0.1888015691	0.07438302485	0.642883154	0.1326018204
60	0.1887567635	0.07423294981	0.6425897838	0.1325650168
61	0.1886992464	0.07433299983	0.6431372187	0.132564662
62	0.1886307405	0.074983325	0.6449346452	0.1327837593
63	0.1885681343	0.074983325	0.6449146948	0.1333300774
64	0.1885172114	0.07493329998	0.6439906216	0.1332571607
65	0.1884664608	0.07483324996	0.6428803443	0.1334299719
66	0.188393722	0.07493329998	0.6430314644	0.1334902657
67	0.1883451631	0.074983325	0.6431982144	0.133665833
68	0.1883014828	0.07493329998	0.6436678937	0.1336616127
69	0.1882564216	0.07483324996	0.6440016229	0.1340349872
70	0.188195168	0.07473319993	0.6432623643	0.1338161245
71	0.1881672428	0.07488327497	0.6433924419	0.1340224016
72	0.1881228954	0.07518342505	0.6452433674	0.1344861801
73	0.188087384	0.074983325	0.64415868	0.1343322879
74	0.1880496841	0.07503335001	0.6445769627	0.1344867411
75	0.1880023994	0.0753835251	0.6457191519	0.1352696842
76	0.1879570224	0.07563365016	0.6460939606	0.1354349935
77	0.1879238495	0.07583375021	0.6472242876	0.1357334742
78	0.1878675208	0.07588377522	0.6470719558	0.135810598
