iter	Passed	Remaining
400	17706	70603
401	17741	70525
402	17778	70451
403	17816	70385
404	17865	70361
405	17902	70288
406	17960	70296
407	18002	70245
408	18040	70178
409	18078	70109
410	18116	70041
411	18157	69986
412	18196	69922
413	18234	69853
414	18272	69788
415	18311	69726
416	18367	69726
417	18409	69672
418	18446	69603
419	18485	69540
420	18521	69467
421	18560	69404
422	18595	69326
423	18633	69259
424	18669	69185
425	18707	69120
426	18745	69054
427	18783	68990
428	18822	68927
429	18857	68850
430	18892	68774
431	18945	68763
432	19001	68764
433	19049	68736
434	19099	68715
435	19147	68684
436	19195	68655
437	19244	68630
438	19290	68591
439	19341	68573
440	19389	68543
441	19438	68518
442	19486	68487
443	19535	68463
444	19591	68460
445	19642	68441
446	19692	68416
447	19743	68398
448	19794	68377
449	19844	68352
450	19892	68324
451	19942	68299
452	19993	68278
453	20033	68219
454	20082	68193
455	20122	68134
456	20159	68066
457	20199	68006
458	20237	67944
459	20271	67864
460	20307	67793
461	20342	67718
462	20379	67653
463	20419	67596
464	20455	67523
465	20495	67466
466	20533	67403
467	20567	67328
468	20603	67259
469	20649	67221
470	20688	67160
471	20723	67088
472	20764	67035
473	20810	66997
474	20845	66923
475	20881	66854
476	20920	66795
477	20965	66757
478	21003	66692
479	21040	66629
480	21078	66567
481	21115	66500
482	21150	66430
483	21187	66364
484	21245	66365
485	21284	66306
486	21327	66261
487	21367	66202
488	21404	66140
489	21445	66087
490	21483	66025
491	21520	65961
492	21556	65892
493	21594	65833
494	21630	65765
495	21668	65703
496	21703	65636
497	21742	65577
498	21784	65526
499	21835	65505
500	21875	65450
501	21912	65389
502	21955	65341
503	22019	65360
504	22070	65336
505	22120	65311
506	22175	65301
507	22234	65303
508	22282	65272
509	22334	65252
510	22384	65225
511	22434	65200
512	22487	65183
513	22539	65161
514	22587	65129
515	22638	65106
516	22686	65076
517	22734	65044
518	22784	65018
519	22832	64983
520	22881	64955
521	22936	64943
522	22982	64904
523	23023	64852
524	23060	64787
525	23095	64719
526	23132	64657
527	23173	64604
528	23208	64537
529	23246	64475
530	23282	64411
531	23325	64365
532	23366	64311
533	23403	64249
534	23442	64194
535	23480	64132
536	23518	64074
537	23556	64013
538	23597	63962
539	23635	63904
540	23673	63842
541	23709	63779
542	23746	63718
543	23785	63661
544	23823	63601
545	23860	63540
546	23896	63475
547	23933	63415
548	23973	63362
549	24030	63352
550	24080	63327
551	24130	63299
552	24187	63289
553	24237	63262
554	24291	63246
555	24339	63213
556	24387	63178
557	24434	63145
558	24486	63121
559	24540	63103
560	24587	63069
561	24636	63037
562	24689	63017
563	24739	62989
564	24790	62962
565	24840	62933
566	24891	62910
567	24949	62901
568	24999	62872
569	25038	62817
570	25076	62756
571	25111	62691
572	25149	62632
573	25189	62579
574	25226	62518
575	25263	62456
576	25303	62404
577	25342	62346
578	25380	62290
579	25418	62231
580	25470	62207
581	25510	62153
582	25547	62095
583	25585	62035
584	25624	61981
585	25670	61942
586	25708	61884
587	25745	61824
588	25785	61770
589	25819	61705
590	25856	61643
591	25894	61586
592	25934	61535
593	25978	61491
594	26026	61457
595	26085	61450
596	26137	61425
597	26186	61392
598	26236	61363
599	26289	61341
600	26334	61301
601	26384	61272
602	26434	61241
603	26485	61215
604	26538	61193
605	26590	61167
606	26642	61140
607	26692	61112
608	26743	61083
609	26795	61058
610	26843	61023
611	26894	60995
612	26946	60969
613	26997	60941
614	27046	60910
615	27082	60848
616	27119	60788
617	27160	60736
618	27203	60690
619	27248	60650
620	27287	60594
621	27327	60543
622	27364	60482
623	27403	60427
624	27446	60381
625	27492	60343
626	27531	60288
627	27567	60227
628	27604	60167
629	27639	60104
630	27686	60068
631	27731	60027
632	27769	59970
633	27806	59911
634	27845	59856
635	27881	59796
636	27919	59740
637	27967	59705
638	28017	59674
639	28076	59662
640	28126	59632
641	28176	59600
642	28230	59578
643	28280	59546
644	28328	59511
645	28378	59481
646	28426	59444
647	28474	59409
648	28525	59379
649	28575	59349
650	28626	59319
651	28676	59287
652	28724	59252
653	28772	59216
654	28821	59182
655	28863	59135
656	28912	59101
657	28971	59087
658	29019	59052
659	29069	59019
660	29116	58981
661	29159	58935
662	29207	58899
663	29254	58861
664	29302	58824
665	29344	58777
666	29393	58743
667	29436	58696
668	29487	58666
669	29537	58633
670	29584	58595
671	29631	58556
672	29684	58531
673	29734	58498
674	29784	58465
675	29832	58429
676	29880	58392
677	29926	58351
678	29974	58314
679	30020	58275
680	30070	58241
