iter	Passed	Remaining
402	11918	135953
403	11948	135925
404	11978	135903
405	12005	135847
406	12033	135802
407	12060	135736
408	12089	135703
409	12115	135629
410	12142	135573
411	12171	135535
412	12197	135469
413	12226	135431
414	12254	135387
415	12280	135319
416	12305	135247
417	12331	135170
418	12359	135127
419	12384	135050
420	12414	135021
421	12443	134989
422	12470	134939
423	12498	134891
424	12528	134860
425	12557	134825
426	12584	134770
427	12612	134726
428	12643	134714
429	12672	134685
430	12700	134642
431	12728	134589
432	12756	134548
433	12785	134511
434	12814	134474
435	12841	134419
436	12875	134446
437	12902	134384
438	12931	134347
439	12960	134319
440	12988	134272
441	13016	134229
442	13044	134181
443	13071	134131
444	13095	134049
445	13124	134015
446	13154	133983
447	13180	133924
448	13205	133845
449	13232	133799
450	13262	133767
451	13290	133727
452	13318	133689
453	13344	133622
454	13371	133566
455	13398	133510
456	13425	133461
457	13451	133399
458	13476	133331
459	13503	133275
460	13527	133191
461	13554	133142
462	13581	133087
463	13608	133038
464	13633	132965
465	13662	132927
466	13688	132871
467	13714	132811
468	13741	132757
469	13768	132706
470	13794	132644
471	13821	132597
472	13849	132554
473	13881	132549
474	13908	132498
475	13939	132479
476	13965	132421
477	13991	132358
478	14017	132304
479	14046	132272
480	14071	132199
481	14100	132169
482	14127	132124
483	14154	132065
484	14181	132022
485	14212	132006
486	14240	131961
487	14267	131911
488	14293	131856
489	14321	131819
490	14350	131781
491	14381	131768
492	14412	131754
493	14441	131723
494	14471	131703
495	14499	131667
496	14526	131614
497	14554	131577
498	14582	131534
499	14611	131504
500	14638	131458
501	14664	131392
502	14692	131352
503	14719	131304
504	14744	131238
505	14768	131165
506	14797	131130
507	14823	131075
508	14852	131044
509	14879	130994
510	14908	130966
511	14936	130928
512	14964	130886
513	14991	130841
514	15017	130782
515	15045	130741
516	15070	130677
517	15096	130626
518	15123	130575
519	15150	130527
520	15178	130486
521	15205	130440
522	15231	130385
523	15266	130408
524	15293	130362
525	15325	130355
526	15355	130331
527	15384	130302
528	15411	130259
529	15439	130219
530	15469	130191
531	15501	130187
532	15529	130148
533	15555	130096
534	15584	130061
535	15613	130031
536	15642	130008
537	15668	129946
538	15695	129901
539	15724	129872
540	15754	129851
541	15784	129831
542	15815	129816
543	15843	129780
544	15874	129759
545	15907	129765
546	15936	129734
547	15965	129706
548	15992	129655
549	16019	129616
550	16049	129593
551	16075	129535
552	16101	129478
553	16126	129422
554	16154	129378
555	16180	129327
556	16209	129297
557	16238	129266
558	16264	129216
559	16291	129166
560	16319	129131
561	16345	129078
562	16371	129021
563	16399	128986
564	16427	128946
565	16455	128908
566	16483	128877
567	16513	128854
568	16546	128851
569	16576	128831
570	16603	128784
571	16628	128727
572	16656	128684
573	16683	128644
574	16711	128609
575	16739	128567
576	16767	128533
577	16793	128480
578	16820	128437
579	16850	128409
580	16881	128396
581	16915	128405
582	16941	128352
583	16970	128322
584	16995	128263
585	17022	128217
586	17049	128175
587	17076	128135
588	17101	128069
589	17126	128016
590	17152	127958
591	17179	127919
592	17209	127894
593	17238	127864
594	17262	127799
595	17287	127741
596	17313	127693
597	17338	127632
598	17365	127586
599	17392	127541
600	17418	127497
601	17446	127457
602	17473	127414
603	17499	127363
604	17524	127306
605	17550	127259
606	17576	127201
607	17603	127165
608	17632	127134
609	17659	127089
610	17686	127048
611	17715	127021
612	17743	126986
613	17774	126972
614	17805	126951
615	17833	126919
616	17859	126869
617	17887	126832
618	17920	126835
619	17947	126793
620	17972	126736
621	17997	126676
622	18022	126619
623	18047	126566
624	18074	126520
625	18102	126485
626	18126	126423
627	18153	126377
628	18180	126335
629	18210	126314
630	18237	126274
631	18265	126240
632	18291	126188
633	18319	126154
634	18347	126121
635	18374	126077
636	18405	126064
637	18437	126057
638	18464	126014
639	18490	125963
640	18521	125949
641	18545	125887
642	18571	125841
643	18601	125816
644	18627	125772
645	18652	125719
646	18679	125676
647	18708	125645
648	18736	125615
649	18767	125598
650	18793	125550
651	18825	125539
652	18852	125503
653	18877	125447
654	18904	125403
655	18942	125436
656	18967	125381
657	18991	125320
658	19017	125269
659	19043	125225
660	19070	125183
661	19095	125129
662	19120	125076
663	19145	125019
664	19172	124984
665	19198	124937
666	19223	124881
667	19251	124847
668	19278	124805
669	19306	124768
670	19336	124748
671	19361	124699
672	19390	124672
673	19422	124661
674	19450	124626
675	19474	124566
676	19502	124535
677	19530	124499
678	19555	124448
679	19582	124403
680	19607	124350
681	19633	124307
682	19659	124263
683	19685	124213
684	19719	124217
685	19748	124189
686	19778	124172
687	19815	124193
688	19846	124178
689	19877	124165
690	19905	124128
691	19944	124161
692	19973	124132
693	20001	124103
694	20028	124063
695	20054	124017
696	20080	123967
697	20109	123939
698	20135	123892
699	20162	123855
700	20187	123805
701	20219	123793
702	20253	123794
703	20283	123773
704	20316	123770
705	20349	123768
706	20386	123790
707	20429	123843
708	20470	123890
709	20504	123893
710	20541	123915
711	20579	123936
712	20612	123937
713	20642	123915
714	20674	123902
715	20704	123877
716	20731	123841
717	20762	123821
718	20793	123809
719	20829	123821
720	20865	123832
721	20898	123829
722	20928	123806
723	21009	124084
724	21037	124047
725	21063	124001
726	21090	123960
727	21118	123926
728	21144	123882
729	21172	123842
730	21197	123791
731	21224	123751
732	21252	123717
733	21278	123668
734	21301	123605
735	21327	123562
736	21352	123510
737	21382	123483
738	21409	123444
739	21435	123398
740	21464	123370
741	21493	123340
742	21521	123304
743	21546	123257
744	21575	123227
745	21602	123188
746	21633	123166
747	21662	123140
748	21690	123105
749	21720	123081
750	21748	123047
751	21775	123007
752	21802	122965
753	21830	122932
754	21856	122890
755	21883	122850
756	21910	122809
757	21934	122754
758	21962	122715
759	21986	122659
760	22020	122660
761	22047	122622
762	22075	122589
763	22102	122545
764	22129	122508
765	22155	122463
766	22183	122430
767	22212	122399
768	22240	122365
769	22267	122327
770	22297	122302
771	22326	122273
772	22352	122230
773	22379	122192
774	22407	122154
775	22432	122105
776	22460	122074
777	22488	122041
778	22516	122007
779	22544	121969
780	22569	121922
781	22600	121902
782	22629	121877
783	22654	121827
784	22679	121773
785	22702	121718
786	22729	121675
787	22757	121643
788	22780	121584
789	22813	121578
790	22840	121534
791	22868	121502
792	22895	121465
793	22926	121449
794	22960	121446
795	22996	121451
796	23031	121454
797	23060	121429
798	23088	121394
799	23119	121376
800	23149	121353
801	23178	121323
802	23205	121286
803	23231	121245
804	23261	121217
805	23289	121185
806	23320	121167
807	23348	121137
808	23376	121102
809	23406	121080
810	23434	121043
811	23462	121008
812	23492	120985
813	23519	120947
814	23548	120921
815	23576	120884
816	23601	120836
817	23628	120798
818	23653	120753
819	23682	120723
820	23719	120735
821	23760	120769
822	23795	120769
823	23825	120748
824	23860	120748
825	23909	120818
826	23939	120797
827	23972	120787
828	24010	120804
829	24050	120832
830	24090	120858
831	24125	120859
832	24156	120838
833	24183	120801
834	24210	120764
835	24240	120737
836	24272	120724
837	24299	120686
838	24329	120661
839	24361	120647
840	24391	120622
841	24421	120597
842	24452	120577
843	24477	120532
844	24502	120480
845	24530	120449
846	24557	120410
847	24586	120379
848	24615	120351
849	24642	120312
850	24669	120275
851	24695	120228
852	24720	120181
853	24750	120160
854	24776	120113
855	24804	120082
856	24832	120047
857	24860	120013
858	24890	119991
859	24917	119953
860	24945	119916
861	24970	119869
862	24998	119836
863	25026	119800
864	25055	119771
865	25083	119739
866	25110	119701
867	25136	119661
868	25164	119627
869	25189	119576
870	25214	119530
871	25240	119485
872	25265	119437
873	25291	119396
874	25316	119348
875	25344	119313
876	25371	119277
877	25400	119250
878	25427	119212
879	25457	119187
880	25485	119154
881	25513	119119
882	25537	119069
883	25565	119038
884	25593	119003
885	25621	118968
886	25651	118943
887	25676	118898
888	25705	118869
889	25734	118840
890	25765	118819
891	25792	118783
892	25821	118756
893	25848	118716
894	25876	118687
895	25919	118718
896	25947	118687
897	25972	118639
898	25998	118597
899	26022	118546
900	26048	118502
901	26086	118516
902	26116	118491
903	26143	118453
904	26173	118430
905	26200	118395
906	26229	118367
907	26260	118344
908	26291	118328
909	26320	118299
910	26346	118253
911	26371	118209
912	26399	118177
913	26427	118144
914	26452	118095
915	26476	118047
916	26502	118006
917	26531	117975
918	26559	117940
919	26585	117899
920	26611	117860
921	26640	117831
922	26668	117797
923	26694	117754
924	26719	117709
925	26750	117691
926	26776	117648
927	26805	117618
928	26829	117570
929	26857	117537
930	26882	117493
931	26911	117465
932	26940	117435
933	26964	117383
934	26994	117360
935	27020	117319
936	27045	117275
937	27074	117245
938	27108	117239
939	27133	117192
940	27160	117156
941	27190	117130
942	27218	117099
943	27246	117067
944	27273	117029
945	27301	116997
946	27328	116959
947	27357	116932
948	27387	116910
949	27416	116880
950	27445	116852
951	27477	116838
952	27505	116806
953	27531	116763
954	27559	116732
955	27585	116689
956	27612	116655
957	27639	116615
958	27668	116586
959	27699	116567
960	27728	116538
961	27753	116496
962	27782	116467
963	27864	116661
964	27903	116672
965	27934	116652
966	27970	116655
967	28007	116659
968	28040	116645
969	28071	116625
970	28123	116694
971	28159	116693
972	28195	116695
973	28226	116674
974	28256	116650
975	28285	116618
976	28309	116572
977	28335	116530
978	28368	116516
979	28394	116477
980	28423	116446
981	28450	116409
982	28477	116372
983	28505	116338
984	28531	116298
985	28559	116264
986	28585	116224
987	28612	116185
988	28637	116144
989	28662	116098
990	28690	116062
991	28718	116031
992	28745	115996
993	28775	115970
994	28803	115938
995	28830	115901
996	28857	115865
997	28883	115824
998	28909	115781
999	28934	115737
1000	28965	115716
1001	28992	115679
1002	29020	115646
1003	29044	115599
1004	29069	115553
1005	29096	115516
1006	29135	115529
1007	29169	115518
1008	29207	115525
1009	29240	115515
1010	29267	115477
1011	29303	115476
1012	29333	115451
1013	29363	115427
1014	29390	115388
1015	29411	115329
1016	29438	115293
1017	29464	115252
1018	29493	115224
1019	29518	115178
1020	29544	115137
1021	29572	115106
1022	29597	115062
1023	29623	115022
1024	29647	114976
1025	29672	114929
1026	29699	114894
1027	29726	114858
1028	29751	114815
1029	29780	114784
1030	29805	114741
1031	29830	114698
1032	29856	114656
1033	29880	114609
1034	29906	114569
1035	29933	114531
1036	29956	114482
1037	29983	114447
1038	30009	114406
1039	30033	114359
1040	30058	114313
1041	30086	114281
1042	30112	114242
1043	30149	114245
